epoch,train_loss,val_loss,val_acc
1,0.42691,0.39698,0.85897
2,0.32000,0.36444,0.85897
3,0.28310,0.36608,0.85897
4,0.24342,0.37229,0.85897
5,0.23197,0.38696,0.84615
6,0.20114,0.36103,0.85897
7,0.18413,0.36659,0.85897
8,0.15942,0.38767,0.85897
9,0.17079,0.33662,0.88462
10,0.13211,0.35912,0.87179
11,0.13954,0.35282,0.87179
12,0.12037,0.34439,0.87179
13,0.13340,0.33802,0.85897
14,0.11971,0.34006,0.85897
15,0.13158,0.33217,0.87179
16,0.11675,0.33672,0.88462
17,0.10796,0.34914,0.85897
18,0.12595,0.33679,0.85897
19,0.11489,0.32908,0.87179
20,0.10532,0.32449,0.87179
21,0.08626,0.31554,0.85897
22,0.09736,0.31244,0.87179
23,0.11147,0.31611,0.88462
24,0.09534,0.31839,0.89744
25,0.09433,0.30602,0.89744
