epoch,train_loss,val_loss,val_acc
1,0.61279,0.62808,0.45854
2,0.56811,0.56989,0.66341
3,0.54060,0.53037,0.72195
4,0.51592,0.52539,0.74146
5,0.51418,0.52335,0.65366
6,0.48607,0.52844,0.63415
7,0.46622,0.50554,0.66829
8,0.47036,0.50998,0.64390
9,0.46368,0.51000,0.65366
10,0.45455,0.51019,0.67805
11,0.42997,0.50490,0.65854
12,0.45479,0.50271,0.67805
13,0.43891,0.51754,0.66829
14,0.42563,0.51286,0.64390
15,0.43827,0.50831,0.65854
16,0.43334,0.50777,0.65366
17,0.41826,0.50564,0.65366
18,0.42890,0.50488,0.66341
19,0.41961,0.51595,0.64878
20,0.41925,0.50914,0.68780
21,0.41702,0.51455,0.65366
22,0.42848,0.50013,0.65854
23,0.43237,0.50304,0.68293
24,0.41927,0.50280,0.66829
25,0.41632,0.51062,0.64390
26,0.41367,0.50188,0.66341
27,0.42262,0.49620,0.66829
28,0.40309,0.49217,0.66829
29,0.40585,0.49540,0.67805
30,0.39709,0.50595,0.67317
31,0.40305,0.50085,0.68780
32,0.39968,0.50237,0.65366
33,0.40332,0.50005,0.67805
34,0.38635,0.50708,0.66341
35,0.41747,0.49659,0.67805
36,0.38615,0.50400,0.67317
37,0.37206,0.50166,0.69756
38,0.38780,0.49796,0.67805
39,0.38255,0.49776,0.66341
40,0.39172,0.50806,0.66341
41,0.39104,0.50358,0.68780
42,0.38254,0.50284,0.65366
43,0.36884,0.50570,0.67805
44,0.36938,0.49526,0.65854
45,0.38665,0.49531,0.66829
46,0.36890,0.49596,0.69268
47,0.38537,0.50354,0.68780
48,0.37736,0.50369,0.65854
49,0.37192,0.51250,0.67317
50,0.38426,0.50586,0.68293
