epoch,train_loss,val_loss,val_acc
1,0.61638,0.59325,0.63902
2,0.50871,0.59608,0.65854
3,0.44889,0.52199,0.67805
4,0.42474,0.51421,0.72683
5,0.39757,0.46556,0.76098
6,0.36743,0.48746,0.76585
7,0.34514,0.48152,0.78049
8,0.35767,0.50511,0.77073
9,0.33461,0.47939,0.73659
10,0.30576,0.54173,0.77561
11,0.26699,0.52638,0.79024
12,0.25401,0.52185,0.78537
13,0.25423,0.51962,0.76585
14,0.25348,0.52166,0.78049
15,0.23223,0.48567,0.78537
16,0.23820,0.49391,0.78049
17,0.23295,0.50794,0.78049
18,0.20708,0.47803,0.76098
19,0.22749,0.48226,0.79024
20,0.20624,0.49085,0.78537
21,0.21264,0.47703,0.79024
22,0.19398,0.48343,0.79024
23,0.18177,0.50710,0.79024
24,0.19141,0.48696,0.78537
25,0.18430,0.49066,0.79512
26,0.19195,0.46287,0.78537
27,0.19200,0.47476,0.78049
28,0.16894,0.47588,0.79024
29,0.17488,0.50446,0.78537
30,0.16520,0.50883,0.80000
31,0.16887,0.52233,0.80488
32,0.16556,0.48880,0.77561
33,0.15787,0.48908,0.78049
34,0.15995,0.49967,0.79024
35,0.16635,0.50047,0.79512
36,0.16987,0.51674,0.79512
37,0.15773,0.51835,0.80000
38,0.13771,0.51846,0.79024
39,0.13253,0.49287,0.79024
40,0.16301,0.52860,0.78537
41,0.13482,0.52929,0.78049
42,0.13634,0.53386,0.78537
43,0.11828,0.51265,0.79512
44,0.13338,0.51122,0.80000
45,0.10500,0.50440,0.78537
46,0.13061,0.54290,0.78049
47,0.12315,0.51039,0.78537
48,0.11357,0.49316,0.80976
49,0.11276,0.52734,0.79024
50,0.14867,0.51947,0.80000
